Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
28758355,08/26/2014 10:24:00 AM,08/27/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,2460 EAST TREMONT AVENUE,EAST TREMONT AVENUE,SEDDON STREET,HONE AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/27/2014 12:00:00 PM,10 BRONX,BRONX,1025433,246335,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.842711812068956,-73.85115679186549,"(40.842711812068956, -73.85115679186549)"
28758301,08/26/2014 10:22:00 AM,08/27/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,1732 ST PETERS AVENUE,ST PETERS AVENUE,MACLAY AVENUE,EAST TREMONT AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/27/2014 12:00:00 PM,10 BRONX,BRONX,1025707,246267,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84252389010714,-73.85016692596349,"(40.84252389010714, -73.85016692596349)"
28759166,08/26/2014 02:04:00 AM,08/26/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1025 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/26/2014 12:00:00 PM,09 BRONX,BRONX,1018209,239723,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.824594531459304,-73.8772991398564,"(40.824594531459304, -73.8772991398564)"
28762904,08/26/2014 02:02:00 AM,08/26/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1057 BOYNTON AVENUE,BOYNTON AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/26/2014 12:00:00 PM,09 BRONX,BRONX,1018159,240003,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82536324322324,-73.87747838486375,"(40.82536324322324, -73.87747838486375)"
28762830,08/26/2014 01:55:00 AM,08/26/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10472,1002 ELDER AVENUE,ELDER AVENUE,BRUCKNER BOULEVARD,WATSON AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/26/2014 12:00:00 PM,09 BRONX,BRONX,1017977,239578,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82419743692128,-73.87813813139623,"(40.82419743692128, -73.87813813139623)"
28751962,08/25/2014 09:01:00 AM,08/26/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,1613 OVERING STREET,OVERING STREET,ST RAYMONDS AVENUE,MACLAY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/26/2014 12:00:00 PM,10 BRONX,BRONX,1026485,246116,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.842105753069255,-73.84735605029384,"(40.842105753069255, -73.84735605029384)"
28755679,08/25/2014 08:57:00 AM,08/27/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,1617 OVERING STREET,OVERING STREET,ST RAYMONDS AVENUE,MACLAY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,,08/27/2014 12:00:00 PM,10 BRONX,BRONX,1026461,246139,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84216899600949,-73.84744264513319,"(40.84216899600949, -73.84744264513319)"
28755678,08/25/2014 08:56:00 AM,08/26/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,2700 EAST TREMONT AVENUE,EAST TREMONT AVENUE,ST RAYMONDS AVENUE,WILLIAMSBRIDGE ROAD,,,ADDRESS,BRONX,,N/A,Closed,,08/26/2014 12:00:00 PM,10 BRONX,BRONX,1026923,246329,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84268826916678,-73.84577169710714,"(40.84268826916678, -73.84577169710714)"
28753652,08/25/2014 08:53:00 AM,08/26/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10461,2563 ST RAYMOND AVENUE,ST RAYMOND AVENUE,OVERING STREET,BENSON STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/26/2014 12:00:00 PM,10 BRONX,BRONX,1026665,246144,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84218174202708,-73.84670532614344,"(40.84218174202708, -73.84670532614344)"
28745571,08/24/2014 10:14:00 PM,08/25/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10458,2401 HOFFMAN STREET,HOFFMAN STREET,EAST 187 STREET,EAST 188 STREET,,,ADDRESS,BRONX,,N/A,Closed,,08/25/2014 12:00:00 PM,06 BRONX,BRONX,1015137,251218,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85615620818563,-73.88834595566074,"(40.85615620818563, -73.88834595566074)"
28747564,08/24/2014 10:08:00 PM,,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10457,1710 WEBSTER AVENUE,WEBSTER AVENUE,EAST 173 STREET,EAST 174 STREET,,,ADDRESS,BRONX,,N/A,Open,,,03 BRONX,BRONX,1011023,246634,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84358792612815,-73.90323602974483,"(40.84358792612815, -73.90323602974483)"
28748829,08/24/2014 11:48:00 AM,08/25/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10460,2132 DALY AVENUE,DALY AVENUE,EAST 181 STREET,BRONX PARK SOUTH,,,ADDRESS,BRONX,,N/A,Closed,,08/25/2014 12:00:00 PM,06 BRONX,BRONX,1017186,247347,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84552406374189,-73.88095800927209,"(40.84552406374189, -73.88095800927209)"
28737226,08/22/2014 04:13:00 PM,08/25/2014 12:00:00 PM,DSNY,A - Bronx,Dirty Conditions,E3 Dirty Sidewalk,Sidewalk,10468,,,,,EAST 204 STREET,JEROME AVENUE,INTERSECTION,BRONX,,N/A,Closed,,08/25/2014 12:00:00 PM,07 BRONX,BRONX,1015070,258155,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.87519638673798,-73.88855625176745,"(40.87519638673798, -73.88855625176745)"
